Issuer Company,Symbol,Security Code,Dividened Record Date,Ex Date,Dividened Type,Dividened Per Share,CMP
ACC Ltd,ACC.NS,"5,00,410",13-Jun-25,13-Jun-25,Dividend,7.5,"1,906.50"
Ambuja Cements Ltd,AMBUJACEM.NS,"5,00,425",13-Jun-25,13-Jun-25,Dividend,2,559.75
Adani Enterprises Ltd,ADANIENT.NS,"5,12,599",13-Jun-25,13-Jun-25,Dividend,1.3,"2,581.95"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS.NS,"5,32,921",13-Jun-25,13-Jun-25,Dividend,7,"1,466.90"
Canara Bank,CANBK.NS,"5,32,483",13-Jun-25,13-Jun-25,Dividend,4,117.7
Alufluoride Ltd,ALUFLUOR.NS,"5,24,634",13-Jun-25,13-Jun-25,Dividend,3,399.95
JM Financial Ltd-$,JMFINANCIL.NS,"5,23,405",13-Jun-25,13-Jun-25,Dividend,2.7,155.2
Power Finance Corporation Ltd,PFC.NS,"5,32,810",13-Jun-25,13-Jun-25,Dividend,2.05,431
Eimco Elecon (India) Ltd,EIMCOELECO.NS,"5,23,708",13-Jun-25,13-Jun-25,Dividend,5,"2,639.55"
Elecon Engineering Company Ltd,ELECON.NS,"5,05,700",13-Jun-25,13-Jun-25,Dividend,1.5,686.25
Apcotex Industries Ltd,APCOTEXIND.NS,"5,23,694",13-Jun-25,13-Jun-25,Dividend,4.5,386.1
Piramal Enterprises Ltd,PEL.NS,"5,00,302",13-Jun-25,13-Jun-25,Dividend,11,"1,187.85"
Sharda Motor Industries Ltd,SHARDAMOTR.NS,"5,35,602",13-Jun-25,13-Jun-25,Dividend,32.5,"1,958.45"
Smruthi Organics Ltd,SMRUTHIORG.NS,"5,40,686",13-Jun-25,13-Jun-25,Dividend,1.5,127.35
DAM Capital Advisors Ltd,DAMCAPITAL.NS,"5,44,316",13-Jun-25,13-Jun-25,Dividend,1,298.35
Adani Total Gas Ltd,ATGL.NS,"5,42,066",13-Jun-25,13-Jun-25,Dividend,0.25,690.85
BCPL Railway Infrastructure Ltd,BCPL.NS,"5,42,057",13-Jun-25,13-Jun-25,Dividend,1,95.74
Indegene Ltd,INDGN.NS,"5,44,172",13-Jun-25,13-Jun-25,Dividend,2,591.3
SMC Global Securities Ltd,SMCGLOBAL.NS,"5,43,263",13-Jun-25,13-Jun-25,Dividend,1.2,126
Trent Ltd,TRENT.NS,"5,00,251",12-Jun-25,12-Jun-25,Dividend,5,"5,910.30"
Tata Chemicals Ltd,TATACHEM.NS,"5,00,770",12-Jun-25,12-Jun-25,Dividend,11,960.5
Swastik Safe Deposit & Investments Ltd,ZSWASTSA.NS,"5,01,386",12-Jun-25,12-Jun-25,Dividend,1,
Avantel Ltd,AVANTEL.NS,"5,32,406",12-Jun-25,12-Jun-25,Dividend,0.2,161.3
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI.NS,"5,40,133",12-Jun-25,12-Jun-25,Dividend,0.85,637.45
Tata Elxsi Ltd,TATAELXSI.NS,"5,00,408",11-Jun-25,11-Jun-25,Dividend,75,"6,630.45"
Indian Bank,INDIANB.NS,"5,32,814",10-Jun-25,10-Jun-25,Dividend,16.25,651.95
Asian Paints Ltd,ASIANPAINT.NS,"5,00,820",10-Jun-25,10-Jun-25,Dividend,20.55,"2,248.30"
Tata Investment Corporation Ltd,TATAINVEST.NS,"5,01,301",10-Jun-25,10-Jun-25,Dividend,27,"6,905.55"
Johnson Controls-Hitachi Air Conditioning India Ltd,JCHAC.NS,"5,23,398",10-Jun-25,10-Jun-25,Dividend,15,"1,722.35"
Nelco Ltd,NELCO.NS,"5,04,112",09-Jun-25,09-Jun-25,Dividend,1,898.35
Dr  Lal PathLabs Ltd,LALPATHLAB.NS,"5,39,524",06-Jun-25,06-Jun-25,Dividend,6,"2,872.75"
Bank of Baroda,BANKBARODA.NS,"5,32,134",06-Jun-25,06-Jun-25,Dividend,8.35,248.05
High Energy Batteries India Ltd,HIGHENE.NS,"5,04,176",06-Jun-25,06-Jun-25,Dividend,3,703.75
Tata Steel Ltd,TATASTEEL.NS,"5,00,470",06-Jun-25,06-Jun-25,Dividend,3.6,157.25
JSW Energy Ltd,JSWENERGY.NS,"5,33,148",06-Jun-25,06-Jun-25,Dividend,2,534.85
Container Corporation of India Ltd,CONCOR.NS,"5,31,344",06-Jun-25,06-Jun-25,Dividend,2,800.7
Nicco Parks & Resorts Ltd,NICCOPAR.NS,"5,26,721",06-Jun-25,06-Jun-25,Interim Dividend,0.4,116.9
QGO Finance Ltd,QGO.NS,"5,38,646",06-Jun-25,06-Jun-25,Interim Dividend,0.15,52.82
Technocraft Industries (India) Ltd,TIIL.NS,"5,32,804",06-Jun-25,06-Jun-25,Interim Dividend,20,"3,121.05"
Panchsheel Organics Ltd,PANCHSHEEL.NS,"5,31,726",06-Jun-25,06-Jun-25,Dividend,0.8,156.1
Ramkrishna Forgings Ltd,RKFORGE.NS,"5,32,527",06-Jun-25,06-Jun-25,Interim Dividend,1,664.35
Torrent Power Ltd,TORNTPOWER.NS,"5,32,779",06-Jun-25,06-Jun-25,Dividend,5,"1,406.75"
IndiaMART InterMESH Ltd,INDIAMART.NS,"5,42,726",06-Jun-25,06-Jun-25,Dividend,20,"2,471.65"
IndiaMART InterMESH Ltd,INDIAMART.NS,"5,42,726",06-Jun-25,06-Jun-25,Dividend,30,"2,471.65"
L&T Technology Services Ltd,LTTS.NS,"5,40,115",06-Jun-25,06-Jun-25,Dividend,38,"4,334.95"
